id,eidos_koinotitas,onoma_dimotikis_enotitas,eidos_neou_ota,onoma_neou_ota,perifereiaki_enotita,perifereia
79,ΔΗΜ. ΚΟΙΝΟΤ,ΕΠΑΝΟΜΗΣ,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
80,ΔΗΜ. ΚΟΙΝΟΤ,ΘΕΡΜΑΪΚΟΥ,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
81,ΔΗΜ. ΚΟΙΝΟΤ,ΜΗΧΑΝΙΩΝΑΣ,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
82,ΔΗΜ. ΚΟΙΝΟΤ,ΒΑΣΙΛΙΚΩΝ,ΔΗΜΟΣ,ΘΕΡΜΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
83,ΔΗΜ. ΚΟΙΝΟΤ,ΘΕΡΜΗΣ,ΔΗΜΟΣ,ΘΕΡΜΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
84,ΔΗΜ. ΚΟΙΝΟΤ,ΜΙΚΡΑΣ,ΔΗΜΟΣ,ΘΕΡΜΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
85,ΔΗΜ. ΚΟΙΝΟΤ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΗΜΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
86,ΔΗΜ. ΚΟΙΝΟΤ,ΤΡΙΑΝΔΡΙΑΣ,ΔΗΜΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
87,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΛΑΜΑΡΙΑΣ,ΔΗΜΟΣ,ΚΑΛΑΜΑΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
88,ΔΗΜ. ΚΟΙΝΟΤ,ΕΛΕΥΘΕΡΙΟΥ-ΚΟΡΔΕΛΙΟΥ,ΔΗΜΟΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
89,ΔΗΜ. ΚΟΙΝΟΤ,ΕΥΟΣΜΟΥ,ΔΗΜΟΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
90,ΔΗΜ. ΚΟΙΝΟΤ,ΑΣΣΗΡΟΥ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
91,ΤΟΠ. ΚΟΙΝΟΤ,ΒΕΡΤΙΣΚΟΥ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
92,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΛΙΝΔΟΙΩΝ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
93,ΤΟΠ. ΚΟΙΝΟΤ,ΚΟΡΩΝΕΙΑΣ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
94,ΔΗΜ. ΚΟΙΝΟΤ,ΛΑΓΚΑΔΑ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
